player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Chancel Mbemba Mangulu,2979,0.0,1.240383622,0.0,0.0,1162.0,340.0,0.0,0.0374738254380664,0.0,0.0,Newcastle United
James Ward-Prowse,2977,2.0,2.2664223095,4.0,0.0,807.0,201.0,0.0604635539133355,0.0685179737504198,0.1209271078266711,0.0,Southampton
Adrián San Miguel del Castillo,2976,0.0,0.0,0.0,0.0,998.0,778.0,0.0,0.0,0.0,0.0,West Ham United
James McClean,2976,2.0,2.1490602425,2.0,0.0,822.0,184.0,0.0604838709677419,0.0649917412046371,0.0604838709677419,0.0,West Bromwich Albion
Dan Gosling,2972,3.0,3.0795959647,1.0,0.0,1230.0,139.0,0.0908479138627187,0.0932582896443472,0.0302826379542395,0.0,AFC Bournemouth
John Stones,2968,0.0,0.685919156,0.0,0.0,1596.0,332.0,0.0,0.0207994353234501,0.0,0.0,Everton
Ryan Bertrand,2955,1.0,1.2763177975,3.0,0.0,1565.0,285.0,0.0304568527918781,0.0388726232741116,0.0913705583756345,0.0,Southampton
Sébastien Aymar Bassong Nguena,2949,1.0,1.846760696,0.0,0.0,950.0,227.0,0.0305188199389623,0.0563609571515768,0.0,0.0,Norwich City
Federico Fernández,2948,1.0,1.714547008,1.0,0.0,1745.0,376.0,0.030529172320217,0.0523437010583446,0.030529172320217,0.0,Swansea City
Artur Boruc,2948,0.0,0.0,0.0,0.0,913.0,607.0,0.0,0.0,0.0,0.0,AFC Bournemouth
Claudio Ariel Yacob,2932,0.0,0.216381981,1.0,0.0,1118.0,209.0,0.0,0.0066420116950886,0.0306957708049113,0.0,West Bromwich Albion
Cameron Jerome,2930,3.0,7.300334361,2.0,0.0,434.0,23.0,0.0921501706484641,0.2242423523856655,0.0614334470989761,0.0,Norwich City
Aleksandar Mitrović,2930,9.0,11.86097099,4.0,0.0,714.0,33.0,0.2764505119453925,0.3643301669283276,0.1228668941979522,0.0,Newcastle United
Alberto Moreno Pérez,2930,1.0,1.4703509806,4.0,0.0,1743.0,332.0,0.030716723549488,0.0451643645918088,0.1228668941979522,0.0,Liverpool
